Peildatum;Netbeheerder;Provincie;Gemeente;CBS Buurt ;CBS Buurtcode;Aantal aansluitingen in CBS-buurt ;Aantal aansluitingen met opwekinstallatie;Opgesteld vermogen
202001;Enexis;Groningen;Appingedam;Appingedam-Centrum;30000;1.480;155;507
202001;Enexis;Groningen;Appingedam;Appingedam-West;30001;1.331;479;1.685
202001;Enexis;Groningen;Appingedam;Appingedam-Oost;30002;2.826;439;1.616
202001;Enexis;Groningen;Appingedam;Verspreide huizen Damsterdiep en Eemskanaal;30007;230;97;405
202001;Enexis;Groningen;Appingedam;Verspreide huizen ten zuiden van Eemskanaal;30008;102;21;61
202001;Enexis;Groningen;Appingedam;Verspreide huizen ten noorden van het Damsterdiep;30009;137;31;166
202001;Enexis;Groningen;Groningen;Ten Boer;90000;1.732;534;1.656
202001;Enexis;Groningen;Groningen;Sint-Annen;90003;58;24;93
202001;Enexis;Groningen;Groningen;Verspreide huizen ten noorden van het Eemskanaal;90009;488;196;1.109
202001;Enexis;Groningen;Groningen;Ten Post;90100;266;107;585
202001;Enexis;Groningen;Groningen;Winneweer (gedeeltelijk);90101;63;21;80
202001;Enexis;Groningen;Delfzijl;Delfzijl-Centrum;100000;720;23;100
202001;Enexis;Groningen;Delfzijl;Delfzijl-Noord;100002;2.924;345;1.177
202001;Enexis;Groningen;Delfzijl;Delfzijl-West;100003;1.908;330;1.010
202001;Enexis;Groningen;Delfzijl;Verspreide huizen Eemskanaal (ten zuiden);100107;176;63;483
202001;Enexis;Groningen;Delfzijl;Verspreide huizen Wagenborgen;100207;38;13;107
202001;Enexis;Groningen;Delfzijl;Verspreide huizen Termunten;100209;133;27;297
202001;Enexis;Groningen;Delfzijl;Farmsum;100307;1.312;278;1.024
202001;Enexis;Groningen;Delfzijl;Verspreide huizen Bierum;100309;432;150;916
202001;Enexis;Groningen;Delfzijl;Tuikwerd;100412;1.231;257;886
202001;Enexis;Groningen;Delfzijl;Fivelzigt;100519;659;243;764
202001;Enexis;Groningen;Delfzijl;Holwierde;100733;413;150;507
202001;Enexis;Groningen;Delfzijl;Godlinze;100735;130;40;121
202001;Enexis;Groningen;Delfzijl;Losdorp;100736;62;24;82
202001;Enexis;Groningen;Delfzijl;Bierum;100737;236;55;208
202001;Enexis;Groningen;Delfzijl;Spijk;100738;519;164;613
202001;Enexis;Groningen;Delfzijl;Meedhuizen;100932;126;52;211
202001;Enexis;Groningen;Delfzijl;Borgsweer;100940;42;15;102
202001;Enexis;Groningen;Delfzijl;Termunterzijl;100941;164;30;126
202001;Enexis;Groningen;Delfzijl;Termunten;100942;144;29;108
202001;Enexis;Groningen;Delfzijl;Woldendorp;100943;426;126;556
202001;Enexis;Groningen;Delfzijl;Wagenborgen;100944;786;238;883
202001;Enexis;Groningen;Groningen;Binnenstad-Noord;140000;2.208;77;307
202001;Enexis;Groningen;Groningen;Binnenstad-Zuid;140001;3.413;71;257
202001;Enexis;Groningen;Groningen;Binnenstad-Oost;140002;1.809;55;196
202001;Enexis;Groningen;Groningen;Binnenstad-West;140003;708;17;62
202001;Enexis;Groningen;Groningen;Hortusbuurt-Ebbingekwartier;140005;2.428;109;417
202001;Enexis;Groningen;Groningen;De Meeuwen;140100;561;86;187
202001;Enexis;Groningen;Groningen;Oosterpoort;140101;2.735;129;287
202001;Enexis;Groningen;Groningen;Herewegbuurt;140102;718;42;123
202001;Enexis;Groningen;Groningen;Rivierenbuurt;140103;2.551;62;222
202001;Enexis;Groningen;Groningen;Grunobuurt;140104;1.178;23;56
202001;Enexis;Groningen;Groningen;Badstratenbuurt;140105;472;23;43
202001;Enexis;Groningen;Groningen;Zeeheldenbuurt;140106;1.186;19;55
202001;Enexis;Groningen;Groningen;Laanhuizen;140107;643;19;59
202001;Enexis;Groningen;Groningen;Oranjebuurt;140200;1.447;110;247
202001;Enexis;Groningen;Groningen;Noorderplantsoenbuurt;140201;1.914;168;522
202001;Enexis;Groningen;Groningen;Schildersbuurt;140202;2.245;193;597
202001;Enexis;Groningen;Groningen;Kostverloren;140203;1.347;304;321
202001;Enexis;Groningen;Groningen;De Hoogte;140300;2.315;57;118
202001;Enexis;Groningen;Groningen;Indische buurt;140301;4.772;146;418
202001;Enexis;Groningen;Groningen;Professorenbuurt;140302;2.863;214;493
202001;Enexis;Groningen;Groningen;Gorechtbuurt;140400;2.521;60;212
202001;Enexis;Groningen;Groningen;Vogelbuurt;140401;1.569;220;376
202001;Enexis;Groningen;Groningen;Bloemenbuurt;140402;1.795;389;350
202001;Enexis;Groningen;Groningen;Florabuurt;140403;818;122;275
202001;Enexis;Groningen;Groningen;Damsterbuurt;140404;305;21;45
202001;Enexis;Groningen;Groningen;De Linie;140500;310;50;147
202001;Enexis;Groningen;Groningen;Kop van Oost;140503;411;37;141
202001;Enexis;Groningen;Groningen;Eemspoort;140506;386;31;312
202001;Enexis;Groningen;Groningen;Sterrebosbuurt;140600;152;30;93
202001;Enexis;Groningen;Groningen;Coendersborg;140601;1.691;142;437
202001;Enexis;Groningen;Groningen;Klein Martijn;140602;303;60;252
202001;Enexis;Groningen;Groningen;Villabuurt;140603;483;79;407
202001;Enexis;Groningen;Groningen;Helpman;140604;3.223;136;415
202001;Enexis;Groningen;Groningen;De Wijert;140605;2.907;352;388
202001;Enexis;Groningen;Groningen;De Wijert-Zuid;140606;1.493;297;910
202001;Enexis;Groningen;Groningen;Corpus den Hoorn;140700;2.658;119;366
202001;Enexis;Groningen;Groningen;Hoornse Meer;140701;2.281;172;519
202001;Enexis;Groningen;Groningen;Hoornse Park;140702;300;76;295
202001;Enexis;Groningen;Groningen;Piccardthof;140704;435;147;608
202001;Enexis;Groningen;Groningen;Hoogkerk Dorp;140800;953;73;319
202001;Enexis;Groningen;Groningen;Hoogkerk-Zuid;140801;2.442;148;470
202001;Enexis;Groningen;Groningen;Westpoort;140802;41;10;80
202001;Enexis;Groningen;Groningen;Leegkerk;140805;59;15;52
202001;Enexis;Groningen;Groningen;Gravenburg;140806;690;287;1.095
202001;Enexis;Groningen;Groningen;De Buitenhof;140810;535;180;714
202001;Enexis;Groningen;Groningen;Vinkhuizen-Noord;140900;2.837;107;320
202001;Enexis;Groningen;Groningen;Vinkhuizen-Zuid;140901;2.357;210;513
202001;Enexis;Groningen;Groningen;Hoendiep;140902;100;14;193
202001;Enexis;Groningen;Groningen;Reitdiep;140904;972;294;1.072
202001;Enexis;Groningen;Groningen;De Held;140906;955;272;795
202001;Enexis;Groningen;Groningen;Selwerd;141000;2.699;316;578
202001;Enexis;Groningen;Groningen;Paddepoel-Zuid;141001;2.376;311;1.883
202001;Enexis;Groningen;Groningen;Paddepoel-Noord;141002;3.049;154;425
202001;Enexis;Groningen;Groningen;Zernike Campus;141003;44;13;138
202001;Enexis;Groningen;Groningen;Selwerderhof;141004;52;12;24
202001;Enexis;Groningen;Groningen;Tuinwijk;141005;985;89;142
202001;Enexis;Groningen;Groningen;Beijum-West;141100;3.034;373;1.048
202001;Enexis;Groningen;Groningen;Beijum-Oost;141101;3.212;277;824
202001;Enexis;Groningen;Groningen;De Hunze;141102;1.025;355;1.126
202001;Enexis;Groningen;Groningen;Van Starkenborgh;141103;326;102;349
202001;Enexis;Groningen;Groningen;Noorderhoogebrug;141104;145;42;157
202001;Enexis;Groningen;Groningen;Lewenborg-Noord;141200;1.911;329;696
202001;Enexis;Groningen;Groningen;Lewenborg-Zuid;141201;1.609;134;382
202001;Enexis;Groningen;Groningen;Lewenborg-West;141202;827;121;333
202001;Enexis;Groningen;Groningen;Oosterhoogebrug;141203;1.134;104;372
202001;Enexis;Groningen;Groningen;Ulgersmaborg;141204;994;232;770
202001;Enexis;Groningen;Groningen;Zilvermeer;141206;86;49;165
202001;Enexis;Groningen;Groningen;Drielanden;141208;397;155;445
202001;Enexis;Groningen;Groningen;Noorddijk;141209;56;17;95
202001;Enexis;Groningen;Groningen;Ruischerbrug;141210;228;71;224
202001;Enexis;Groningen;Groningen;Ruischerwaard;141211;515;134;400
202001;Enexis;Groningen;Groningen;Middelbert;141300;47;15;104
202001;Enexis;Groningen;Groningen;Engelbert;141301;384;108;409
202001;Enexis;Groningen;Groningen;Klein Harkstede;141302;30;14;51
202001;Enexis;Groningen;Groningen;Garmerwolde;141502;193;64;242
202001;Enexis;Groningen;Groningen;Thesinge;141503;153;55;189
202001;Enexis;Groningen;Groningen;Woltersum;141602;166;59;195
202001;Enexis;Groningen;Groningen;Wittewierum;141604;46;17;57
202001;Enexis;Groningen;Groningen;Haren;141700;4.824;666;2.324
202001;Enexis;Groningen;Groningen;Oosterhaar;141701;2.152;562;1.692
202001;Enexis;Groningen;Groningen;Voorveld;141702;116;23;120
202001;Enexis;Groningen;Groningen;Harenermolen;141703;128;24;99
202001;Enexis;Groningen;Groningen;Glimmen;141704;465;162;637
202001;Enexis;Groningen;Groningen;Hemmen;141705;676;250;847
202001;Enexis;Groningen;Groningen;Noordlaren;141800;170;51;237
202001;Enexis;Groningen;Groningen;Onnen;141801;162;57;220
202001;Enexis;Groningen;Groningen;Paterswolde (gedeeltelijk);141802;58;13;68
202001;Enexis;Groningen;Groningen;Verspreide huizen ten westen van Noord-Willemskanaal;141806;284;15;49
202001;Enexis;Groningen;Groningen;Verspreide huizen op de Hondsrug;141807;183;44;221
202001;Enexis;Groningen;Groningen;Verspreide huizen Onner Esch;141808;172;52;337
202001;Enexis;Groningen;Groningen;Verspreide huizen ten oosten van de Hondsrug;141809;77;20;91
202001;Enexis;Groningen;Midden-Groningen;Martenshoek;180105;437;54;249
202001;Enexis;Groningen;Midden-Groningen;Kiel-Windeweer Buiten;180502;132;34;266
202001;Enexis;Groningen;Midden-Groningen;Recreatiegebied Meerwijck;180601;207;38;145
202001;Enexis;Groningen;Midden-Groningen;Polder Wolfsbarge;180604;93;22;107
202001;Enexis;Groningen;Midden-Groningen;Kropswolderbuitenpolder;180605;64;18;87
202001;Enexis;Groningen;Midden-Groningen;Foxholsterbosch;180702;72;11;50
202001;Enexis;Groningen;Midden-Groningen;Westerbroekstermolenpolder;180801;210;64;285
202001;Enexis;Groningen;Midden-Groningen;Industriegebied Winschoterdiep;180803;62;10;49
202001;Enexis;Groningen;Loppersum;Loppersum;240000;1.113;452;1.836
202001;Enexis;Groningen;Loppersum;Garrelsweer;240001;194;83;370
202001;Enexis;Groningen;Loppersum;Wirdum;240002;142;49;180
202001;Enexis;Groningen;Loppersum;Wirdumerdraai;240003;105;35;192
202001;Enexis;Groningen;Loppersum;Verspreide huizen Eemskanaal en Damsterdiep;240008;52;17;79
202001;Enexis;Groningen;Loppersum;Verspreide huizen ten noorden van het Damsterdiep;240009;142;69;403
202001;Enexis;Groningen;Loppersum;Stedum;240100;368;94;306
202001;Enexis;Groningen;Loppersum;Westeremden;240101;189;54;168
202001;Enexis;Groningen;Loppersum;Garsthuizen (gedeeltelijk);240102;78;26;90
202001;Enexis;Groningen;Loppersum;Verspreide huizen Stedum inclusief Startenhuizen;240109;176;61;519
202001;Enexis;Groningen;Loppersum;Middelstum;240200;907;288;1.363
202001;Enexis;Groningen;Loppersum;Westerwijtwerd;240201;54;17;99
202001;Enexis;Groningen;Loppersum;Toornwerd;240203;31;12;45
202001;Enexis;Groningen;Loppersum;Verspreide huizen Middelstum;240209;219;50;344
202001;Enexis;Groningen;Loppersum;t Zandt;240300;308;106;426
202001;Enexis;Groningen;Loppersum;Zeerijp;240301;193;59;221
202001;Enexis;Groningen;Loppersum;Zijldijk;240302;105;27;205
202001;Enexis;Groningen;Loppersum;Leermens;240303;76;22;77
202001;Enexis;Groningen;Loppersum;Oosterwijtwerd;240304;63;19;68
202001;Enexis;Groningen;Loppersum;Eenum;240305;35;12;39
202001;Enexis;Groningen;Loppersum;Verspreide huizen 't Zandt;240309;216;66;460
202001;Enexis;Groningen;Stadskanaal;Stadskanaal Centrum;370100;1.264;33;228
202001;Enexis;Groningen;Stadskanaal;Maarswold;370102;1.088;248;1.446
202001;Enexis;Groningen;Stadskanaal;Maarsveld;370103;1.259;103;370
202001;Enexis;Groningen;Stadskanaal;De Hagen;370104;611;55;180
202001;Enexis;Groningen;Stadskanaal;Vogelwijk en De Borgen;370105;1.102;221;862
202001;Enexis;Groningen;Stadskanaal;Industriegebied Vleddermond;370106;374;28;256
202001;Enexis;Groningen;Stadskanaal;Dideldom;370107;187;22;162
202001;Enexis;Groningen;Stadskanaal;Parkwijk;370108;1.255;131;576
202001;Enexis;Groningen;Stadskanaal;Stadskanaal Noord Landskant;370109;451;97;455
202001;Enexis;Groningen;Stadskanaal;Stadskanaal Noord Centrum;370110;710;91;426
202001;Enexis;Groningen;Stadskanaal;Stadskanaal Noord;370111;399;74;515
202001;Enexis;Groningen;Stadskanaal;Waterland;370112;456;134;558
202001;Enexis;Groningen;Stadskanaal;Musselkanaal Centrum;370200;1.762;184;780
202001;Enexis;Groningen;Stadskanaal;Musselkanaal Zuid;370201;603;65;286
202001;Enexis;Groningen;Stadskanaal;Musselkanaal Noord;370202;618;82;675
202001;Enexis;Groningen;Stadskanaal;Ceresdorp;370203;421;52;267
202001;Enexis;Groningen;Stadskanaal;Onstwedde;370300;902;99;454
202001;Enexis;Groningen;Stadskanaal;Onstwedde Buitengebied Noord;370308;299;42;300
202001;Enexis;Groningen;Stadskanaal;Onstwedde Buitengebied Zuid;370309;421;60;472
202001;Enexis;Groningen;Stadskanaal;Mussel;370400;373;63;388
202001;Enexis;Groningen;Stadskanaal;Vledderveen;370402;129;25;139
202001;Enexis;Groningen;Stadskanaal;Mussel Buitengebied;370409;160;31;288
202001;Enexis;Groningen;Stadskanaal;Alteveer;370500;385;51;257
202001;Enexis;Groningen;Stadskanaal;Alteveer Buitengebied;370509;149;19;121
202001;Enexis;Groningen;Midden-Groningen;s-Gravenschans en Ruiten;400002;31;11;58
202001;Enexis;Groningen;Midden-Groningen;Rengerslaan;400003;100;42;151
202001;Enexis;Groningen;Midden-Groningen;Knijpslaan;400004;92;37;125
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen ten oosten van Slochteren;400007;149;61;324
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen ten zuiden van Kolham;400008;110;17;145
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen in de Hooilandspolder;400009;114;41;214
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen ten noorden van Het Siep;400108;70;25;217
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen in De Zanden;400109;47;15;103
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen in het Siddebuursterveen;400208;89;28;151
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen ten noorden van Siddeburen;400209;258;90;518
202001;Enexis;Groningen;Midden-Groningen;Hamweg;400302;46;18;60
202001;Enexis;Groningen;Midden-Groningen;Borgweg (gedeeltelijk);400304;62;25;152
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen ten oosten van Hamweg;400308;85;15;89
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen in het Westen;400309;77;30;164
202001;Enexis;Groningen;Midden-Groningen;Verspreide huizen Overschild;400409;230;80;401
202001;Enexis;Groningen;Veendam;Veendam-Centrum;470000;1.661;74;364
202001;Enexis;Groningen;Veendam;Veendam-Oude Ae;470001;1.759;130;552
202001;Enexis;Groningen;Veendam;Veendam-Middenweg en omgeving;470002;373;51;210
202001;Enexis;Groningen;Veendam;Veendam en omgeving station;470003;920;74;286
202001;Enexis;Groningen;Veendam;Veendam-Zuid;470004;720;39;254
202001;Enexis;Groningen;Veendam;Veendam-Sorghvliet;470005;3.569;313;1.052
202001;Enexis;Groningen;Veendam;Veendam-industriegebied;470006;178;16;54
202001;Enexis;Groningen;Veendam;Buitenwoel;470007;789;172;698
202001;Enexis;Groningen;Veendam;Borgercompagnie (gedeeltelijk);470100;196;51;278
202001;Enexis;Groningen;Veendam;Ommelanderwijk;470101;464;60;324
202001;Enexis;Groningen;Veendam;Zuidwending;470102;208;38;349
202001;Enexis;Groningen;Veendam;Verspreide huizen;470109;511;119;893
202001;Enexis;Groningen;Veendam;Wildervank;470200;1.452;157;672
202001;Enexis;Groningen;Veendam;Boven-Wildervank;470201;581;81;595
202001;Enexis;Groningen;Veendam;Wildervanksterdallen;470203;77;11;139
202001;Enexis;Drenthe;Assen;Overcingel;1060002;375;23;100
202001;Enexis;Drenthe;Assen;Oranjebuurt;1060003;345;20;63
202001;Enexis;Drenthe;Assen;Koopmanskwartier;1060005;1.159;60;175
202001;Enexis;Drenthe;Assen;Cultuureelkwartier;1060006;227;14;43
202001;Enexis;Drenthe;Assen;Oude Gasfabriek;1060007;115;13;40
202001;Enexis;Drenthe;Assen;De Hertenkamp;1060008;314;42;163
202001;Enexis;Drenthe;Assen;De Esch;1060010;340;38;116
202001;Enexis;Drenthe;Assen;Bomenbuurt;1060011;253;39;149
202001;Enexis;Drenthe;Assen;Zuiderpark;1060012;147;35;159
202001;Enexis;Drenthe;Assen;De Lariks Oost;1060100;738;42;154
202001;Enexis;Drenthe;Assen;Landgoed Lariks;1060101;511;29;112
202001;Enexis;Drenthe;Assen;De Lariks West;1060102;783;99;347
202001;Enexis;Drenthe;Assen;Luchiesland Zuid;1060103;437;77;192
202001;Enexis;Drenthe;Assen;Zuid Molukse Buurt;1060104;253;200;374
202001;Enexis;Drenthe;Assen;Oude Molenbuurt;1060200;1.102;142;451
202001;Enexis;Drenthe;Assen;Dichtershof;1060201;406;14;44
202001;Enexis;Drenthe;Assen;Veningerland;1060202;895;94;307
202001;Enexis;Drenthe;Assen;Zwarte Water;1060203;665;51;156
202001;Enexis;Drenthe;Assen;Componistenbuurt West;1060204;291;90;315
202001;Enexis;Drenthe;Assen;Componistenbuurt Oost;1060205;1.011;76;238
202001;Enexis;Drenthe;Assen;Vreebergen;1060301;69;34;140
202001;Enexis;Drenthe;Assen;Houtlaan;1060302;139;71;433
202001;Enexis;Drenthe;Assen;Amelterhout;1060303;125;31;113
202001;Enexis;Drenthe;Assen;Schildersbuurt;1060304;620;150;341
202001;Enexis;Drenthe;Assen;Vredeveld Noord;1060305;1.034;205;580
202001;Enexis;Drenthe;Assen;Sluisdennen;1060306;142;37;172
202001;Enexis;Drenthe;Assen;Vredeveld Zuid;1060307;1.297;270;681
202001;Enexis;Drenthe;Assen;De Dorpen;1060308;616;303;650
202001;Enexis;Drenthe;Assen;Park Diepstroeten;1060310;218;124;416
202001;Enexis;Drenthe;Assen;Pittelo Zuid;1060400;189;54;223
202001;Enexis;Drenthe;Assen;Pittelo Midden;1060401;728;115;317
202001;Enexis;Drenthe;Assen;Pittelo Noord;1060402;664;112;314
202001;Enexis;Drenthe;Assen;Baggelhuizen Zuid;1060502;480;177;588
202001;Enexis;Drenthe;Assen;Baggelhuizen Midden;1060503;777;173;485
202001;Enexis;Drenthe;Assen;Baggelhuizen Noord;1060504;316;287;622
202001;Enexis;Drenthe;Assen;Westerpark;1060508;255;88;380
202001;Enexis;Drenthe;Assen;De Venen/De Wallen;1060600;452;69;238
202001;Enexis;Drenthe;Assen;De Velden/De Stukken;1060601;743;119;365
202001;Enexis;Drenthe;Assen;De Landen/De Akkers;1060602;1.088;156;481
202001;Enexis;Drenthe;Assen;De Kampen/De Essen;1060603;690;160;505
202001;Enexis;Drenthe;Assen;Peelerpark;1060604;80;13;105
202001;Enexis;Drenthe;Assen;Messchenveld;1060700;86;21;196
202001;Enexis;Drenthe;Assen;De Messchen;1060701;423;114;487
202001;Enexis;Drenthe;Assen;De Hamels;1060702;185;80;323
202001;Enexis;Drenthe;Assen;De Kleuven;1060703;444;64;186
202001;Enexis;Drenthe;Assen;De Dreven;1060704;483;98;330
202001;Enexis;Drenthe;Assen;De BreeÙn;1060705;300;106;398
202001;Enexis;Drenthe;Assen;De Hoven;1060706;366;123;446
202001;Enexis;Drenthe;Assen;De Heugten;1060707;581;68;230
202001;Enexis;Drenthe;Assen;De Beemden;1060708;379;78;348
202001;Enexis;Drenthe;Assen;De Hullen;1060709;394;91;330
202001;Enexis;Drenthe;Assen;De Stoepen;1060710;840;200;723
202001;Enexis;Drenthe;Assen;De Goorns;1060711;357;48;164
202001;Enexis;Drenthe;Assen;Bedrijventerrein Marsdijk West;1060712;108;12;73
202001;Enexis;Drenthe;Assen;Bedrijventerrein Marsdijk Oost;1060715;164;23;262
202001;Enexis;Drenthe;Assen;Kloosterveste;1060800;391;133;404
202001;Enexis;Drenthe;Assen;Kloostertuinen;1060801;331;56;192
202001;Enexis;Drenthe;Assen;Kloosterhaven;1060802;93;29;118
202001;Enexis;Drenthe;Assen;Kloosterlanen;1060803;299;95;386
202001;Enexis;Drenthe;Assen;Kloosterhoven;1060804;520;60;214
202001;Enexis;Drenthe;Assen;Kloosterstede;1060805;379;56;212
202001;Enexis;Drenthe;Assen;Kloostergaarde;1060806;161;22;70
202001;Enexis;Drenthe;Assen;Kloosterhage;1060807;292;63;237
202001;Enexis;Drenthe;Assen;Kloosterkade;1060808;193;51;222
202001;Enexis;Drenthe;Assen;Sterrenbeeldenbuurt;1060809;205;87;312
202001;Enexis;Drenthe;Assen;Planetenbuurt;1060810;330;79;290
202001;Enexis;Drenthe;Assen;Kloosterhout;1060815;307;115;499
202001;Enexis;Drenthe;Assen;Kloosterbos;1060816;440;92;347
202001;Enexis;Drenthe;Assen;Uitbreidingsgebied Kloosterveen;1060817;72;17;87
202001;Enexis;Drenthe;Assen;Loon;1069900;108;29;169
202001;Enexis;Drenthe;Assen;Witten;1069912;41;12;94
202001;Enexis;Drenthe;Coevorden;Coevorden-Centrum;1091000;1.495;172;559
202001;Enexis;Drenthe;Coevorden;Lootuinen;1091001;578;297;789
202001;Enexis;Drenthe;Coevorden;Poppenhare;1091002;584;139;330
202001;Enexis;Drenthe;Coevorden;Binnenvree Buitenvree Pikveld;1091003;1.341;428;1.194
202001;Enexis;Drenthe;Coevorden;De Heege;1091004;847;269;818
202001;Enexis;Drenthe;Coevorden;Ballast;1091007;639;154;534
202001;Enexis;Drenthe;Coevorden;De Loo;1091008;598;256;688
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Coevorden;1091009;94;12;109
202001;Enexis;Drenthe;Coevorden;Hare;1091011;108;12;104
202001;Enexis;Drenthe;Coevorden;Leeuwerikenveld;1091012;90;10;92
202001;Enexis;Drenthe;Coevorden;Klinkenvlier;1091014;70;18;124
202001;Enexis;Drenthe;Coevorden;Ossehaar;1091015;292;54;223
202001;Enexis;Drenthe;Coevorden;Steenwijksmoer;1091116;206;53;190
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Steenwijksmoer;1091117;316;48;326
202001;Enexis;Drenthe;Coevorden;Nieuwe Krim;1091218;54;12;54
202001;Enexis;Drenthe;Coevorden;Dalen;1092022;1.462;396;1.617
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Dalen;1092023;243;39;333
202001;Enexis;Drenthe;Coevorden;Wachtum;1092024;121;34;236
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Wachtum;1092025;53;14;120
202001;Enexis;Drenthe;Coevorden;Dalerpeel;1092026;227;75;217
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Dalerpeel;1092027;208;32;237
202001;Enexis;Drenthe;Coevorden;Dalerveen;1092028;96;17;82
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Dalerveen;1092029;62;14;67
202001;Enexis;Drenthe;Coevorden;Stieltjeskanaal;1092030;70;13;84
202001;Enexis;Drenthe;Coevorden;Oosterhesselen;1093032;800;213;820
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Oosterhesselen;1093033;106;11;83
202001;Enexis;Drenthe;Coevorden;Gees;1093034;248;50;237
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Gees;1093035;103;11;60
202001;Enexis;Drenthe;Coevorden;Zwinderen;1093036;148;28;277
202001;Enexis;Drenthe;Coevorden;Geesbrug;1093038;235;76;274
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Geesbrug;1093039;451;49;388
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Nieuwlande;1093068;149;33;160
202001;Enexis;Drenthe;Coevorden;Sleen;1094040;1.006;273;962
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Sleen;1094042;71;10;72
202001;Enexis;Drenthe;Coevorden;Noord-Sleen;1094043;125;24;188
202001;Enexis;Drenthe;Coevorden;t Haantje;1094044;72;21;115
202001;Enexis;Drenthe;Coevorden;Verspreide huizen 't Haantje;1094045;45;12;69
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Noord-Sleen;1094046;128;22;262
202001;Enexis;Drenthe;Coevorden;Schoonoord;1094047;914;282;927
202001;Enexis;Drenthe;Coevorden;De Kiel;1094048;123;23;79
202001;Enexis;Drenthe;Coevorden;Verspreide huizen De Kiel;1094049;74;16;89
202001;Enexis;Drenthe;Coevorden;Erm;1094053;123;17;99
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Holsloot;1094056;69;12;132
202001;Enexis;Drenthe;Coevorden;Verspreide huizen Elm;1094057;256;17;154
202001;Enexis;Drenthe;Coevorden;Zweeloo;1095058;174;30;165
202001;Enexis;Drenthe;Coevorden;Aalden;1095059;768;195;725
202001;Enexis;Drenthe;Coevorden;Meppen;1095061;105;26;166
202001;Enexis;Drenthe;Coevorden;Wezup;1095063;81;16;100
202001;Enexis;Drenthe;Coevorden;Wezuperbrug;1095064;92;23;165
202001;Enexis;Drenthe;Coevorden;Benneveld;1095065;57;12;87
202001;Enexis;Drenthe;Emmen;3e Kruisdiep;1140100;193;41;157
202001;Enexis;Drenthe;Emmen;1e Kruisdiep;1140101;872;99;515
202001;Enexis;Drenthe;Emmen;Tramwijk;1140102;105;25;133
202001;Enexis;Drenthe;Emmen;Achterdiep;1140103;109;19;141
202001;Enexis;Drenthe;Emmen;Weerdingerkanaal;1140104;111;25;232
202001;Enexis;Drenthe;Emmen;Verspreide huizen Nieuw-Weerdinge;1140109;103;22;188
202001;Enexis;Drenthe;Emmen;Roswinkel-Centrum;1140200;104;10;63
202001;Enexis;Drenthe;Emmen;Roswinkelerstraat;1140208;93;16;95
202001;Enexis;Drenthe;Emmen;Verspreide huizen Roswinkel;1140209;160;28;151
202001;Enexis;Drenthe;Emmen;Emmer-Compascuum Centrum;1140300;2.159;221;875
202001;Enexis;Drenthe;Emmen;Emmer-Erfscheidenveen;1140301;762;158;768
202001;Enexis;Drenthe;Emmen;Foxel;1140302;167;36;223
202001;Enexis;Drenthe;Emmen;Oosterdiep;1140303;211;52;292
202001;Enexis;Drenthe;Emmen;Verspreide huizen Emmer-Compascuum;1140309;278;41;354
202001;Enexis;Drenthe;Emmen;Barger-Compascuum-Centrum;1140400;518;45;179
202001;Enexis;Drenthe;Emmen;Scholtenskanaal;1140401;73;10;40
202001;Enexis;Drenthe;Emmen;Verlengde-Oosterdiep;1140402;145;29;261
202001;Enexis;Drenthe;Emmen;Verspreide huizen Barger-Compascuum;1140409;106;24;153
202001;Enexis;Drenthe;Emmen;Nieuw-Dordrecht;1140500;586;62;302
202001;Enexis;Drenthe;Emmen;Oranjedorp;1140502;227;39;324
202001;Enexis;Drenthe;Emmen;Vastenow;1140503;108;18;106
202001;Enexis;Drenthe;Emmen;Nieuw-Amsterdam-Centrum;1140600;1.908;282;1.450
202001;Enexis;Drenthe;Emmen;Langs de Vaart;1140608;88;28;206
202001;Enexis;Drenthe;Emmen;Verspreide huizen Nieuw-Amsterdam;1140609;101;14;193
202001;Enexis;Drenthe;Emmen;Erica-Centrum;1140700;1.625;307;1.454
202001;Enexis;Drenthe;Emmen;Amsterdamscheveld;1140701;46;10;56
202001;Enexis;Drenthe;Emmen;Beekweg;1140702;101;13;142
202001;Enexis;Drenthe;Emmen;Verlengde Vaart;1140707;40;14;110
